,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
49,Support Vector Machines,7,2,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
50,Naive Bayes,7,2,5,0.8399999999999999,0.85,0.9,0.8380952380952381
51,K-Nearest Neighbor,7,3,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
52,Support Vector Machines,7,3,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
53,Naive Bayes,7,3,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
54,K-Nearest Neighbor,7,4,3,0.8400000000000001,0.7166666666666666,1.0,0.8247619047619048
55,Support Vector Machines,7,4,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
56,Naive Bayes,7,4,3,0.8,0.75,0.9,0.7714285714285714
57,K-Nearest Neighbor,7,5,2,0.8,0.6833333333333333,1.0,0.7980952380952381
58,Support Vector Machines,7,5,2,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
59,Naive Bayes,7,5,2,0.76,0.65,0.9,0.738095238095238
60,K-Nearest Neighbor,7,6,1,0.76,0.7333333333333333,0.8666666666666666,0.76
61,Support Vector Machines,7,6,1,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
62,Naive Bayes,7,6,1,0.8,0.75,0.9,0.8047619047619048
63,K-Nearest Neighbor,8,1,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
64,Support Vector Machines,8,1,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
65,Naive Bayes,8,1,7,0.8,0.75,0.9,0.7714285714285714
66,K-Nearest Neighbor,8,2,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
67,Support Vector Machines,8,2,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
68,Naive Bayes,8,2,6,0.8399999999999999,0.85,0.9,0.8380952380952381
69,K-Nearest Neighbor,8,3,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
70,Support Vector Machines,8,3,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
71,Naive Bayes,8,3,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
72,K-Nearest Neighbor,8,4,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
73,Support Vector Machines,8,4,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
74,Naive Bayes,8,4,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
75,K-Nearest Neighbor,8,5,3,0.8,0.6833333333333333,1.0,0.7980952380952381
76,Support Vector Machines,8,5,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
77,Naive Bayes,8,5,3,0.8,0.75,0.9,0.7714285714285714
78,K-Nearest Neighbor,8,6,2,0.8,0.6833333333333333,1.0,0.7980952380952381
79,Support Vector Machines,8,6,2,0.68,0.6333333333333333,0.7666666666666666,0.6666666666666666
80,Naive Bayes,8,6,2,0.8,0.75,0.9,0.8047619047619048
81,K-Nearest Neighbor,8,7,1,0.76,0.7333333333333333,0.8666666666666666,0.76
82,Support Vector Machines,8,7,1,0.72,0.7,0.7666666666666666,0.7066666666666667
83,Naive Bayes,8,7,1,0.8399999999999999,0.85,0.9,0.8380952380952381
84,K-Nearest Neighbor,9,1,8,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
85,Support Vector Machines,9,1,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
86,Naive Bayes,9,1,8,0.8800000000000001,0.85,0.9,0.838095238095238
87,K-Nearest Neighbor,9,2,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
88,Support Vector Machines,9,2,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
89,Naive Bayes,9,2,7,0.8399999999999999,0.85,0.9,0.8380952380952381
90,K-Nearest Neighbor,9,3,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
91,Support Vector Machines,9,3,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
92,Naive Bayes,9,3,6,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
93,K-Nearest Neighbor,9,4,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
94,Support Vector Machines,9,4,5,0.6799999999999999,0.7166666666666666,0.6666666666666666,0.6047619047619047
95,Naive Bayes,9,4,5,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
96,K-Nearest Neighbor,9,5,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
97,Support Vector Machines,9,5,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
98,Naive Bayes,9,5,4,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
99,K-Nearest Neighbor,9,6,3,0.8,0.6833333333333333,1.0,0.7980952380952381
100,Support Vector Machines,9,6,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
101,Naive Bayes,9,6,3,0.8,0.75,0.9,0.7714285714285714
102,K-Nearest Neighbor,9,7,2,0.76,0.65,1.0,0.7714285714285714
103,Support Vector Machines,9,7,2,0.7200000000000001,0.6666666666666666,0.8666666666666666,0.72
104,Naive Bayes,9,7,2,0.8,0.75,0.9,0.8047619047619048
105,K-Nearest Neighbor,9,8,1,0.76,0.7333333333333333,0.8666666666666666,0.76
106,Support Vector Machines,9,8,1,0.76,0.7333333333333333,0.8666666666666666,0.76
107,Naive Bayes,9,8,1,0.8399999999999999,0.85,0.9,0.8380952380952381
108,K-Nearest Neighbor,10,1,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
109,Support Vector Machines,10,1,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
110,Naive Bayes,10,1,9,0.8800000000000001,0.85,0.9,0.838095238095238
111,K-Nearest Neighbor,10,2,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
112,Support Vector Machines,10,2,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
113,Naive Bayes,10,2,8,0.8800000000000001,0.85,0.9,0.838095238095238
114,K-Nearest Neighbor,10,3,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
115,Support Vector Machines,10,3,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
116,Naive Bayes,10,3,7,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
117,K-Nearest Neighbor,10,4,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
118,Support Vector Machines,10,4,6,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
119,Naive Bayes,10,4,6,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
120,K-Nearest Neighbor,10,5,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
121,Support Vector Machines,10,5,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
122,Naive Bayes,10,5,5,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
123,K-Nearest Neighbor,10,6,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
124,Support Vector Machines,10,6,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
125,Naive Bayes,10,6,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
126,K-Nearest Neighbor,10,7,3,0.76,0.6499999999999999,1.0,0.7647619047619048
127,Support Vector Machines,10,7,3,0.8,0.7833333333333333,0.8333333333333333,0.758095238095238
128,Naive Bayes,10,7,3,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
129,K-Nearest Neighbor,10,8,2,0.76,0.65,1.0,0.7714285714285714
130,Support Vector Machines,10,8,2,0.7200000000000001,0.6666666666666666,0.8666666666666666,0.72
131,Naive Bayes,10,8,2,0.8,0.75,0.9,0.8047619047619048
132,K-Nearest Neighbor,10,9,1,0.76,0.7333333333333333,0.8666666666666666,0.76
133,Support Vector Machines,10,9,1,0.76,0.7333333333333333,0.8666666666666666,0.76
134,Naive Bayes,10,9,1,0.8,0.8333333333333333,0.8333333333333333,0.7999999999999999
135,K-Nearest Neighbor,11,1,10,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
136,Support Vector Machines,11,1,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
137,Naive Bayes,11,1,10,0.8800000000000001,0.85,0.9,0.838095238095238
138,K-Nearest Neighbor,11,2,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
139,Support Vector Machines,11,2,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
140,Naive Bayes,11,2,9,0.9199999999999999,0.95,0.9,0.9047619047619048
141,K-Nearest Neighbor,11,3,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
142,Support Vector Machines,11,3,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
143,Naive Bayes,11,3,8,0.8800000000000001,0.85,0.9,0.838095238095238
144,K-Nearest Neighbor,11,4,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
145,Support Vector Machines,11,4,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
146,Naive Bayes,11,4,7,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
147,K-Nearest Neighbor,11,5,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
148,Support Vector Machines,11,5,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
149,Naive Bayes,11,5,6,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
150,K-Nearest Neighbor,11,6,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
151,Support Vector Machines,11,6,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
152,Naive Bayes,11,6,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
153,K-Nearest Neighbor,11,7,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
154,Support Vector Machines,11,7,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
155,Naive Bayes,11,7,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
156,K-Nearest Neighbor,11,8,3,0.8,0.6833333333333333,1.0,0.7980952380952381
157,Support Vector Machines,11,8,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
158,Naive Bayes,11,8,3,0.8399999999999999,0.85,0.9,0.8380952380952381
159,K-Nearest Neighbor,11,9,2,0.76,0.65,1.0,0.7714285714285714
160,Support Vector Machines,11,9,2,0.7200000000000001,0.6666666666666666,0.8666666666666666,0.72
161,Naive Bayes,11,9,2,0.76,0.7333333333333333,0.8333333333333333,0.7666666666666666
162,K-Nearest Neighbor,11,10,1,0.68,0.6333333333333333,0.8666666666666666,0.6866666666666668
163,Support Vector Machines,11,10,1,0.7200000000000001,0.5999999999999999,0.6666666666666666,0.6133333333333333
164,Naive Bayes,11,10,1,0.8,0.8333333333333333,0.8333333333333333,0.7999999999999999
165,K-Nearest Neighbor,12,1,11,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
166,Support Vector Machines,12,1,11,0.72,0.75,0.6666666666666666,0.638095238095238
167,Naive Bayes,12,1,11,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
168,K-Nearest Neighbor,12,2,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
169,Support Vector Machines,12,2,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
170,Naive Bayes,12,2,10,0.9199999999999999,0.95,0.9,0.9047619047619048
171,K-Nearest Neighbor,12,3,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
172,Support Vector Machines,12,3,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
173,Naive Bayes,12,3,9,0.8800000000000001,0.85,0.9,0.838095238095238
174,K-Nearest Neighbor,12,4,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
175,Support Vector Machines,12,4,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
176,Naive Bayes,12,4,8,0.8800000000000001,0.85,0.9,0.838095238095238
177,K-Nearest Neighbor,12,5,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
178,Support Vector Machines,12,5,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
179,Naive Bayes,12,5,7,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
180,K-Nearest Neighbor,12,6,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
181,Support Vector Machines,12,6,6,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
182,Naive Bayes,12,6,6,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
183,K-Nearest Neighbor,12,7,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
184,Support Vector Machines,12,7,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
185,Naive Bayes,12,7,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
186,K-Nearest Neighbor,12,8,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
187,Support Vector Machines,12,8,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
188,Naive Bayes,12,8,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
189,K-Nearest Neighbor,12,9,3,0.8,0.6833333333333333,1.0,0.7980952380952381
190,Support Vector Machines,12,9,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
191,Naive Bayes,12,9,3,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
192,K-Nearest Neighbor,12,10,2,0.72,0.6166666666666666,1.0,0.738095238095238
193,Support Vector Machines,12,10,2,0.7200000000000001,0.5999999999999999,0.6666666666666666,0.6133333333333333
194,Naive Bayes,12,10,2,0.76,0.7333333333333333,0.8333333333333333,0.7666666666666666
195,K-Nearest Neighbor,12,11,1,0.68,0.6333333333333333,0.8666666666666666,0.6866666666666668
196,Support Vector Machines,12,11,1,0.7200000000000001,0.5999999999999999,0.6666666666666666,0.6133333333333333
197,Naive Bayes,12,11,1,0.76,0.8333333333333333,0.7666666666666666,0.76
198,K-Nearest Neighbor,13,1,12,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
199,Support Vector Machines,13,1,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
200,Naive Bayes,13,1,12,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
201,K-Nearest Neighbor,13,2,11,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
202,Support Vector Machines,13,2,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
203,Naive Bayes,13,2,11,0.9199999999999999,0.8833333333333332,1.0,0.9314285714285713
204,K-Nearest Neighbor,13,3,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
205,Support Vector Machines,13,3,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
206,Naive Bayes,13,3,10,0.8800000000000001,0.85,0.9,0.838095238095238
207,K-Nearest Neighbor,13,4,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
208,Support Vector Machines,13,4,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
209,Naive Bayes,13,4,9,0.8800000000000001,0.85,0.9,0.838095238095238
210,K-Nearest Neighbor,13,5,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
211,Support Vector Machines,13,5,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
212,Naive Bayes,13,5,8,0.8800000000000001,0.85,0.9,0.838095238095238
213,K-Nearest Neighbor,13,6,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
214,Support Vector Machines,13,6,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
215,Naive Bayes,13,6,7,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
216,K-Nearest Neighbor,13,7,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
217,Support Vector Machines,13,7,6,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
218,Naive Bayes,13,7,6,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
219,K-Nearest Neighbor,13,8,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
220,Support Vector Machines,13,8,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
221,Naive Bayes,13,8,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
222,K-Nearest Neighbor,13,9,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
223,Support Vector Machines,13,9,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
224,Naive Bayes,13,9,4,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
225,K-Nearest Neighbor,13,10,3,0.8,0.6833333333333333,1.0,0.7980952380952381
226,Support Vector Machines,13,10,3,0.76,0.6666666666666666,0.6333333333333333,0.6266666666666666
227,Naive Bayes,13,10,3,0.8,0.8333333333333333,0.8333333333333333,0.7999999999999999
228,K-Nearest Neighbor,13,11,2,0.76,0.6499999999999999,1.0,0.7647619047619048
229,Support Vector Machines,13,11,2,0.76,0.5999999999999999,0.7333333333333333,0.6533333333333333
230,Naive Bayes,13,11,2,0.72,0.6333333333333333,0.8333333333333333,0.7
231,K-Nearest Neighbor,13,12,1,0.68,0.6333333333333333,0.8666666666666666,0.6866666666666668
232,Support Vector Machines,13,12,1,0.76,0.6666666666666666,0.6666666666666666,0.6533333333333333
233,Naive Bayes,13,12,1,0.8,0.85,0.8333333333333333,0.7980952380952381
234,K-Nearest Neighbor,14,1,13,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
235,Support Vector Machines,14,1,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
236,Naive Bayes,14,1,13,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
237,K-Nearest Neighbor,14,2,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
238,Support Vector Machines,14,2,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
239,Naive Bayes,14,2,12,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
240,K-Nearest Neighbor,14,3,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
241,Support Vector Machines,14,3,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
242,Naive Bayes,14,3,11,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
243,K-Nearest Neighbor,14,4,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
244,Support Vector Machines,14,4,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
245,Naive Bayes,14,4,10,0.8800000000000001,0.85,0.9,0.838095238095238
246,K-Nearest Neighbor,14,5,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
247,Support Vector Machines,14,5,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
248,Naive Bayes,14,5,9,0.8800000000000001,0.85,0.9,0.838095238095238
249,K-Nearest Neighbor,14,6,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
250,Support Vector Machines,14,6,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
251,Naive Bayes,14,6,8,0.8800000000000001,0.85,0.9,0.838095238095238
252,K-Nearest Neighbor,14,7,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
253,Support Vector Machines,14,7,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
254,Naive Bayes,14,7,7,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
255,K-Nearest Neighbor,14,8,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
256,Support Vector Machines,14,8,6,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
257,Naive Bayes,14,8,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
258,K-Nearest Neighbor,14,9,5,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
259,Support Vector Machines,14,9,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
260,Naive Bayes,14,9,5,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
261,K-Nearest Neighbor,14,10,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
262,Support Vector Machines,14,10,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
263,Naive Bayes,14,10,4,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
264,K-Nearest Neighbor,14,11,3,0.8400000000000001,0.7166666666666666,1.0,0.8247619047619048
265,Support Vector Machines,14,11,3,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
266,Naive Bayes,14,11,3,0.8,0.7666666666666666,0.8333333333333333,0.76
267,K-Nearest Neighbor,14,12,2,0.76,0.6499999999999999,1.0,0.7647619047619048
268,Support Vector Machines,14,12,2,0.7200000000000001,0.5999999999999999,0.6666666666666666,0.6133333333333333
269,Naive Bayes,14,12,2,0.8,0.75,0.9,0.8047619047619048
270,K-Nearest Neighbor,14,13,1,0.76,0.7166666666666666,0.9333333333333332,0.7647619047619048
271,Support Vector Machines,14,13,1,0.72,0.6666666666666666,0.6,0.5933333333333334
272,Naive Bayes,14,13,1,0.76,0.6833333333333333,0.5666666666666667,0.5647619047619047
273,K-Nearest Neighbor,15,1,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
274,Support Vector Machines,15,1,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
275,Naive Bayes,15,1,14,0.8400000000000001,0.85,0.8333333333333333,0.8314285714285713
276,K-Nearest Neighbor,15,2,13,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
277,Support Vector Machines,15,2,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
278,Naive Bayes,15,2,13,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
279,K-Nearest Neighbor,15,3,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
280,Support Vector Machines,15,3,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
281,Naive Bayes,15,3,12,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
282,K-Nearest Neighbor,15,4,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
283,Support Vector Machines,15,4,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
284,Naive Bayes,15,4,11,0.8400000000000001,0.75,0.9,0.8047619047619048
285,K-Nearest Neighbor,15,5,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
286,Support Vector Machines,15,5,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
287,Naive Bayes,15,5,10,0.8800000000000001,0.85,0.9,0.838095238095238
288,K-Nearest Neighbor,15,6,9,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
289,Support Vector Machines,15,6,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
290,Naive Bayes,15,6,9,0.8800000000000001,0.85,0.9,0.838095238095238
291,K-Nearest Neighbor,15,7,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
292,Support Vector Machines,15,7,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
293,Naive Bayes,15,7,8,0.8800000000000001,0.85,0.9,0.838095238095238
294,K-Nearest Neighbor,15,8,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
295,Support Vector Machines,15,8,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
296,Naive Bayes,15,8,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
297,K-Nearest Neighbor,15,9,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
298,Support Vector Machines,15,9,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
299,Naive Bayes,15,9,6,0.8,0.7666666666666666,0.8333333333333333,0.76
300,K-Nearest Neighbor,15,10,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
301,Support Vector Machines,15,10,5,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
302,Naive Bayes,15,10,5,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
303,K-Nearest Neighbor,15,11,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
304,Support Vector Machines,15,11,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
305,Naive Bayes,15,11,4,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
306,K-Nearest Neighbor,15,12,3,0.8400000000000001,0.7166666666666666,1.0,0.8247619047619048
307,Support Vector Machines,15,12,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
308,Naive Bayes,15,12,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
309,K-Nearest Neighbor,15,13,2,0.76,0.6499999999999999,1.0,0.7647619047619048
310,Support Vector Machines,15,13,2,0.8,0.6666666666666666,0.7333333333333333,0.6933333333333334
311,Naive Bayes,15,13,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
312,K-Nearest Neighbor,15,14,1,0.72,0.7,0.8666666666666666,0.7266666666666667
313,Support Vector Machines,15,14,1,0.64,0.6333333333333333,0.6,0.5666666666666667
314,Naive Bayes,15,14,1,0.76,0.6833333333333333,0.5666666666666667,0.5647619047619047
315,K-Nearest Neighbor,16,1,15,0.68,0.5666666666666667,0.6,0.5266666666666666
316,Support Vector Machines,16,1,15,0.68,0.7333333333333332,0.7,0.6266666666666666
317,Naive Bayes,16,1,15,0.8,0.75,0.8333333333333333,0.7647619047619048
318,K-Nearest Neighbor,16,2,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
319,Support Vector Machines,16,2,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
320,Naive Bayes,16,2,14,0.8800000000000001,0.8833333333333332,0.9333333333333332,0.8914285714285715
321,K-Nearest Neighbor,16,3,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
322,Support Vector Machines,16,3,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
323,Naive Bayes,16,3,13,0.8800000000000001,0.7833333333333333,1.0,0.8647619047619048
324,K-Nearest Neighbor,16,4,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
325,Support Vector Machines,16,4,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
326,Naive Bayes,16,4,12,0.8400000000000001,0.75,0.9,0.8047619047619048
327,K-Nearest Neighbor,16,5,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
328,Support Vector Machines,16,5,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
329,Naive Bayes,16,5,11,0.8400000000000001,0.75,0.9,0.8047619047619048
330,K-Nearest Neighbor,16,6,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
331,Support Vector Machines,16,6,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
332,Naive Bayes,16,6,10,0.8800000000000001,0.85,0.9,0.838095238095238
333,K-Nearest Neighbor,16,7,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
334,Support Vector Machines,16,7,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
335,Naive Bayes,16,7,9,0.8800000000000001,0.85,0.9,0.838095238095238
336,K-Nearest Neighbor,16,8,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
337,Support Vector Machines,16,8,8,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
338,Naive Bayes,16,8,8,0.8800000000000001,0.85,0.9,0.838095238095238
339,K-Nearest Neighbor,16,9,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
